"","logFC_1_s","logFC_2_s","logFC_3_s","logFC_5_s","logFC_6_s","logFC_7_s","logFC_8_s","logFC_9_s","logFC_10_s","logFC_11_s","logFC_12_s","logFC_13_s","logFC_14_s","logFC_15_s","logFC_16_s","logFC_17_s","logFC_18_s"
"AhcyL1",0,0.380397609817089,0.302369526331025,0.0566907781982193,0.0201433539315845,0.0639962970639916,-0.113354755249286,0.10395198397504,0.157288286578773,0.0816904682934254,-0.0224815373380451,0.183280014701388,0.213503211103439,0.148010320360614,0.282081264847242,0.159823660174953,0.178045913907146
"AhcyL2",0,0.166303080073526,0.221926890964885,-0.071068694610994,0.0120394125078818,-0.0764735572122719,-0.140820060558327,0.342886357525535,0.497664028640761,0.19135414551049,-0.135208882060772,-0.46594978566265,0.220401176802594,0.0228297473801851,0.368629991067208,-0.28284495583443,0.0728321779873822
"AkhR",0,-0.314426261482452,-0.785347806768856,-1.35432565785611,-0.711205232466972,-0.858613307134759,-0.652546145906497,0.160348103196125,0.153775465058531,0.349420387456624,0.158436463060671,0.0288821258772014,-0.0312287295991496,0.0952732538597845,-0.0774479817901428,-0.0470807170139089,-0.0679334192062067
"Ald",0,-0.0720964838129099,-0.17551525219641,-0.400841153179924,-0.409522685844898,-0.440376185342316,-0.410826590371897,-0.21053324042259,-0.171547342979252,-0.362951019351847,-0.268103756097959,-0.0992362352381395,0.230990277891406,0.0337506926053681,-0.15044631769628,0.0720228974817143,0.142565980815847
"Aldh",0,-0.00761405049456343,-0.168148923915332,-0.437476487912468,-0.461784577812887,-0.434126594633717,-0.489319305717133,-0.0821329886342479,-0.223480080810036,-0.235716638245441,-0.183753458856369,-0.00821362652426494,0.0961564067562435,0.0721531492613465,-0.227513648814348,0.241546632702006,0.197262215118357
"Aldh-III",0,-0.0431507219112692,-0.105399081090743,-0.359832872462728,-0.228146875263104,-0.383422827055026,-0.313938713478729,0.142170965055447,0.202478404775681,-0.0562571302797448,-0.170959257705638,-0.154259592927801,0.245429837945757,0.0140138875654152,0.011944776612637,-0.0419850522379956,0.0391873811376602
"Alp2",0,0.113433594017942,0.809853443147888,1.33609530672403,1.85669055538751,1.66070098753017,1.3427770105921,1.33314448212327,1.19469504271665,1.2533772203309,1.4416125181902,1.0171144252872,0.393033842943795,0.720384856633925,0.710650072500783,0.411946299807046,0.115502226121458
"alpha-Est2",0,-0.181727589378211,-0.532192145743305,-2.08954522973521,-1.80428116302117,-2.0768843230907,-1.3281212193769,-0.0568245730904593,0.384261000015522,0.42026242114893,0.39526120746533,0.0191792602133436,0.166185783262383,0.542568669688505,0.446580832445489,0.289752930818278,0.546569062930423
"alpha-Est5",0,0.146898330669227,0.187572663453931,-0.0989813460242894,0.0433958599072417,0.0709099892044165,-0.150806637669527,0.238657399113035,0.260049302578325,0.138474342293546,0.030890358688219,0.471047689063034,0.730423848425717,0.596064605174502,0.378745397414858,0.703880942440161,0.756302546255507
"alpha-PheRS",0,-0.00499039951194558,0.0804399032710421,0.222615987242008,0.453302240964123,0.406595693426379,0.495935479989187,0.597353498444766,0.443567192420902,0.343330980134223,0.284132133314985,0.292868548981143,0.301701959954728,0.4198212409125,0.306827150302196,0.389552361836301,0.271280276725505
"alpha-Spec",0,0.0603568450992134,0.101110340769164,0.00614968939082594,-0.203028074004275,0.0387320087704968,-0.0940895412120488,0.015716304189711,0.105147021719501,-0.0125305895810648,-0.0722565569424534,0.0373371771605742,0.170836339102465,0.0915147985129305,0.0745245835374666,0.101265633982353,0.237785376132797
"alphaTry",0,0.241084963869778,0.245997622216995,0.571647274907543,1.11885602243935,0.551738437117136,0.540412844883443,0.746492745979545,0.679952710058446,0.4718779933935,0.1382753180495,0.886852831493345,1.12113354335586,0.904544462290154,0.787877495835211,0.676766864377631,0.682700839566442
"amd",0,-0.0333280485767362,0.110088049585688,0.339802858000822,0.381091463453546,0.418673328544302,0.40951226152213,0.543832064297196,0.383773946380322,0.420264071946336,0.476704036364017,0.0245984938336128,0.375588223596667,0.442836825612801,0.391659268887483,0.122770392138639,0.0550738675389824
"Amnionless",0,-0.195576648488118,-0.34864939276944,0.144877593273134,0.122526246808353,-0.273320059496181,-0.398318828988759,0.60241627292663,0.511580768186749,0.504118698477096,0.363103658576194,0.512140791235574,1.46598749670468,1.90802333150914,1.04780589093131,0.993033320506212,1.08119233924017
"AMPdeam",0,0.0131554965090457,0.0953515290817961,0.0123506802045448,-0.0971010901220843,0.0617743529108745,-0.0306247033106466,0.20150949924673,0.213171254549565,0.323885187927138,0.191425629283759,0.143546601220842,0.144694928147878,0.176356684120284,0.232851884113408,0.113185727677423,0.212007714601619
"Amy-d",0,0.397189737361556,0.533715384916299,0.445279080353581,0.610163528184282,0.440511779108547,0.416269676163814,0.526659993161855,0.518478477699411,0.00802496180120293,0.275589960050837,0.942693284015185,1.14004640981661,0.996494922932783,0.696252070652166,0.870580594703181,0.823695402527298
"Amy-p",0,0.390643246463314,0.515699776028564,0.45236378053545,0.674448789094205,0.443167766146621,0.451327782074298,0.536290117475154,0.524432359310092,0.00119754299891994,0.252974169326405,0.937872857495799,1.11112135510993,0.992136893557394,0.688815136851392,0.834002092907481,0.826375804259177
"Ance",0,-0.0599224725178491,0.0635753979070106,-0.039670569899851,0.126475869893133,0.206249205046039,0.0521683637900452,0.274730782707399,0.208829976326693,0.298046906730663,0.278210914333371,0.906632738444095,0.70818599817528,0.52539657016527,0.328110427618704,1.08144897456951,0.694437269077996
"Ance-5",0,0.0601128961456405,-0.5529300424853,-0.769952061290442,-0.779534322748413,-1.17365378778189,-0.858598198706066,-0.347782778002546,-0.303617101328455,-0.472587390684978,-0.058315471302385,0.342347197997685,0.386798200046168,0.152109847204453,0.0646082413691387,0.655591714741736,0.596134236745447
"Ank",0,-0.04310716855887,-0.045891873413515,-0.202717625881586,-0.193176177013933,-0.0489496009928834,-0.132369263748227,0.0589113616288994,0.0525797779563941,0.143692920615609,0.00968621746299192,-0.0609129548864829,0.161622153928201,0.13125178043714,0.150704023013581,0.207404143377081,0.133710480002383
"Ank2",0,-0.114749957840166,-0.121511810754905,-0.239260075457542,-0.406143803721823,-0.245170546621995,-0.589860494391311,-0.495670155661045,-0.445671592780425,-0.22054833555277,-0.157531516437888,-0.117271197018225,-0.130116316845138,-0.259267335247177,-0.387290801045524,-0.0663646408875973,-0.049153750902752
"Anp",0,0.283016063172282,0.199460919218128,0.212466594422777,0.785677874649435,0.245994422251654,0.237489594903586,0.226085035563075,0.222301994745324,0.326893636533603,0.108750334030729,0.0248067873620172,0.0311654940138499,-0.146130665097822,-0.198653949219342,-0.312269264094764,-0.283641824662695
"AOX1",0,0.359125837739759,0.621224267923914,0.605089677482937,0.533651143006036,0.321687473554213,-0.117361694050016,0.275985381985549,0.491412774155808,0.602810174934453,0.639108014036463,0.653277765821555,0.783850919135503,0.800987709366769,0.887315253926582,1.03614854472882,0.880877023105544
"ap",0,-0.110756394131144,-0.0278320383848616,0.429453709028074,0.254889856553254,0.544624585248111,0.628299090224559,0.689525232408287,0.720253742859222,0.468508885413706,0.250783645423926,0.128218729800989,0.199134169403638,0.443091752677722,0.344982554654416,0.0405715690816999,0.0768933247478714
"apolpp",0,-0.0524621538128613,-0.485319807726274,-1.43723844153289,-0.741160707539629,-0.734234963745788,-0.13960380451274,0.55820794752357,0.760666756934651,0.471651126480618,0.200302514327431,0.0224266719469988,0.540499658328489,0.777846521257192,0.721520119826279,0.477404321556881,0.467596268445591
"Appl",0,-0.0891104595963554,-0.0881858891012497,-0.130794264349411,-0.322157572176533,0.0527840986428725,-0.17798347343602,-0.101200849010114,-0.0355119300672264,-0.136255492834882,-0.0653384180543872,-0.156942641670837,-0.0650860368940558,-0.0656451102288393,0.0271931541658033,-0.0336837556286946,0.011992753046588
"Aprt",0,0.0447270778181048,-0.0817796313192423,-0.235397676813557,0.1313281002574,-0.0858169314363733,0.0591530976126409,0.123225960117787,0.207668156742155,-0.0116090219997123,0.239004754413124,0.243799212627698,0.192412254076896,0.291870230712088,0.233935580391794,0.429269007458518,0.066655145956529
"aralar1",0,0.251134984518226,0.037670891676826,-0.7441310434237,-1.03836244653409,-0.992749879998339,-0.921156109412872,-0.541449363987865,-0.338801475247972,-0.853645685022002,-0.492590022055433,0.158481320446101,0.377028942472441,0.00671904679922797,0.12560273391246,0.437079960460856,0.502530124514088
"Arc42",0,-0.150715832942597,-0.220513182157582,-0.515764971394648,-0.315100265393159,-0.506231605589789,-0.199161637865675,0.142993187659281,0.147444476878419,0.155114138496857,0.218949643555726,0.107950304481716,0.237866556912482,0.252948250074545,0.221701885730769,0.338531466726146,0.243073631670629
"arg",0,-0.230853924516688,-0.247046812137435,-0.996542489048795,-0.755305329496772,-1.42641530239841,-0.976103814911132,-0.463055201433294,-0.221694130728008,-0.272983633958596,-0.0955659019708897,-0.101415740421396,-0.135326761176378,-0.124576248924332,-0.259995218356563,-0.00721267480317378,0.175844174960482
"arm",0,-0.0466168968931076,0.0740925524958671,-0.0530086366408717,-0.148635923773027,0.1332900547927,0.0646728214236942,0.230628799084609,0.234421578844901,0.140323682096319,0.113057488833919,0.165504360216131,0.164250334455843,0.216180300802419,0.173973015721582,0.138054887944878,0.158115217638007
"Arr1",0,0.00469109269618428,0.0316149538043469,0.0552281200525435,0.14450161303974,0.0130738391659193,0.107471525277184,0.221181365079355,0.247633015592355,0.134608085554285,0.0775349373821683,0.0338172820284566,0.153493991816754,0.164673554133884,0.202056480078438,0.151611229311364,0.127452226868037
"Arr2",0,-0.0370374894413068,0.0352055757632375,-0.038328791783437,0.0462866815226146,-0.0552861595291176,-0.0654094706588104,0.0353354286913898,-0.0166381347466587,-0.0254777129869712,0.0715526078223316,0.146813785757614,0.137235079029807,0.134167834571155,-0.00311923308830231,0.121867517600561,0.134187113040053
"ARY",0,0.0671095211403467,-0.00462889653039911,0.00135576115507297,-0.0468537929907651,-0.0266101667456935,-0.0792475424281114,-0.346225284993881,-0.415863659572282,-0.246317354267017,-0.0314615694197826,-0.0916797490822332,-0.287171058365987,-0.0875420571672216,-0.274869502720307,-0.231285624699201,-0.396963589755336
"Asap",0,0.130704890189493,0.23081547999786,0.0178707215810094,-0.258336802865979,0.154339424158636,-0.135725038354947,-0.0120832659241099,0.0180169545017002,0.0792920787631504,-0.0375784598857791,0.0621289979765276,-0.0127859097939673,-0.00275513647192405,0.0464430567797738,0.00791691063271394,0.178850737528383
"asf1",0,0.0607937373883156,0.132546537162686,0.121964925296575,0.433582163239497,0.286768766108405,0.331818601235152,0.352702872595286,0.266567909338197,0.330886835320034,0.160230593262066,0.28175688533039,0.116491060325639,0.323566471355721,0.242314382843703,0.176662721968508,0.233418531499542
"Ask1",0,-0.155420933624097,-0.0932874182260948,-0.172093479545068,-0.237252378540772,-0.106154689924321,-0.130418234670652,0.142836918383484,0.194963508917321,0.0930435268490228,0.0587556409537049,0.0376591554694325,0.0461252651566673,0.119546306027122,0.0923298485192223,0.0314474565912688,0.0797806419625271
"asl",0,-0.0550860848472725,-0.0544419850485163,0.100302254084152,-0.262327170433513,0.0141390237182728,0.0633970932411163,-0.192115703614304,-0.189975976071828,-0.205969431072027,-0.0703990298934132,-0.034824543614838,-0.216284278613973,-0.200563470433219,-0.237698132883774,-0.268607875800217,-0.260495078322799
"AsnRS",0,-0.0399997913872125,0.0105617938750386,0.134807301641934,0.284295602940202,0.194099772232246,0.18472081767991,0.360464050573753,0.234268337705452,0.138291640048962,0.164063792286288,0.176408254090671,0.078742309396568,0.125868439054633,0.129214338277714,0.192074918549275,0.045207082045823
"AsnS",0,1.22588515589401,0.772589101663416,0.954519259716094,1.05746655173783,1.50968071876127,1.8885254644014,1.92323177874723,1.69716025747971,0.131705039044997,-0.0652322359510809,-0.355880534733581,0.440875007367462,0.599958605883811,0.653868676279972,-0.465875462639329,0.44181607749452
"Atg1",0,-0.044887490504637,0.126580634740067,0.068532203138651,-0.199026921131221,0.148201876703773,-0.141700494457921,0.0217910492444622,0.0905944825080862,0.176396976494275,0.102067455979401,0.299761254240021,0.113675471092457,0.125306957226747,0.0319093722479895,0.280408840518385,0.219823491677457
"Atg101",0,0.0539161288856329,0.0949266718378743,0.00562191041392257,0.270641832132303,0.265241021697016,0.222284624985403,0.29560615224866,0.181451932366394,0.216995917301126,0.206234885281591,0.282723399677623,0.108662475985573,0.293454207758677,0.150664156374459,0.205109298356875,0.197142062003393
"Atg12",0,-0.094038156232799,-0.211087829320471,-0.0824917680157302,0.296139445253035,-0.0304866819805811,-0.102327563611182,-0.268159445323312,-0.0923548622333419,-0.0594405223419203,-0.0872618400589245,-0.051606106148343,-0.234585225831517,-0.0533697343386823,-0.174969513983452,-0.0739853603633551,-0.156681375163926
"Atg13",0,0.00480717299147759,0.0369464440314964,-0.3243840166343,-0.339694713586816,-0.200368912739039,-0.144294744485282,0.0485632277355155,0.21437822482002,0.182753630994248,0.185731696768642,0.296963529706773,0.284230968572674,0.190934451259112,0.347767490940313,0.452098747437637,0.338839127078619
